id,category,type,question,options,answer,explanation,analysis,score,codeId,remarks,Description
11,习总书记安全生产重要论述,多选题,习近平总书记在2020年12月11日中央政治局第二十六次集体学习时提出，坚持中国特色国家安全道路，以（    ）为宗旨，以（    ）为根本，以（    ）为基础，捍卫国家主权和领土完整，防范化解重大安全风险，为实现中华民族伟大复兴提供坚强安全保障。,"{""A"": ""人民安全"", ""B"": ""政治安全"", ""C"": ""国家利益"", ""D"": ""经济安全""}",ABD,\,\,2,,,
12,习总书记安全生产重要论述,多选题,"2013年11月24日，习近平总书记在听取青岛市黄岛经济开发区黄潍输油管线泄漏引发爆燃事故情况汇报时的讲话，所有企业都必须认真履行安全生产主体责任，做到（    ），确保安全生产。
","{""A"": ""安全投入到位"", ""B"": ""安全培训到位"", ""C"": ""基础管理到位"", ""D"": ""应急救援到位""}",ABCD,\,\,2,,,
13,习总书记安全生产重要论述,多选题,习近平总书记在2022年3月31日全国安全生产电视电话会议上指出，各级党委和政府要坚持以人民为中心的发展思想，坚持（    ），统筹（    ），始终保持如履薄冰的高度警觉，做好安全生产各项工作，决不能麻痹大意、掉以轻心。,"{""A"": ""人民至上"", ""B"": ""生命至上"", ""C"": ""发展"", ""D"": ""安全""}",ABCD,\,\,2,,,
14,习总书记安全生产重要论述,多选题,习近平总书记在党的二十大报告中指出：我们要健全国家安全体系，完善国家安全（    ）、国家应急管理体系，构建全域联动、立体高效的国家安全防护体系。,"{""A"": ""法治体系"", ""B"": ""战略体系"", ""C"": ""政策体系"", ""D"": ""风险监测预警体系""}",ABCD,\,\,2,,,
15,习总书记安全生产重要论述,判断题,习近平总书记在2015年5月31日中共中央政治局第二十三次集体学习时强调，要切实增强抵御和应对自然灾害能力，坚持以防为主、防抗救相结合的方针，坚持常态减灾和非常态救灾相统一，全面提高全社会抵御自然灾害的综合防范能力。,"{""A"": ""正确"", ""B"": ""错误""}",A,\,\,0.5,,,
16,习总书记安全生产重要论述,判断题,习近平总书记2013年6月6日就做好安全生产工作作出重要指示，人命关天，发展决不能以牺牲人的生命为代价。这必须作为一条不可逾越的红线。,"{""A"": ""正确"", ""B"": ""错误""}",A,\,\,0.5,,,
17,习总书记安全生产重要论述,判断题,2013年11月24日，习近平总书记在听取青岛市黄岛经济开发区黄潍输油管线泄漏引发爆燃事故情况汇报时的讲话，要做到“一厂出事故、万厂受教育，一地有隐患、全国受警示”。各地区和各行业领域要深刻吸取安全事故带来的教训，强化安全责任，改进安全监管，落实防范措施。,"{""A"": ""正确"", ""B"": ""错误""}",A,\,\,0.5,,,
18,习总书记安全生产重要论述,判断题,2020年4月10日，习近平总书记就安全生产作出的重要指示，要针对安全生产事故主要特点和突出问题，层层压实责任，狠抓整改落实，强化风险防控，从根本上消除事故隐患，有效遏制重特大事故发生。,"{""A"": ""正确"", ""B"": ""错误""}",A,\,\,0.5,,,
19,习总书记安全生产重要论述,判断题,2013年11月24日，习近平总书记在听取青岛市黄岛经济开发区黄潍输油管线泄漏引发爆燃事故情况汇报时的讲话，：我们必须牢固树立这样一个观念，就是不能要带血的生产总值。发展要以人为本、以民为本。不要强调在目前阶段安全事故“不可避免论”。,"{""A"": ""正确"", ""B"": ""错误""}",A,\,\,0.5,,,
20,习总书记安全生产重要论述,判断题,2013年11月24日，习近平总书记在听取青岛市黄岛经济开发区黄潍输油管线泄漏引发爆燃事故情况汇报时的讲话，各地区各部门、各类企业都要坚持安全生产高标准、严要求，加大安全生产指标考核权重，实行安全生产和重大安全生产事故风险“一票否决”。,"{""A"": ""正确"", ""B"": ""错误""}",A,\,\,0.5,,,
21,习总书记安全生产重要论述,简答题,安全生产“三管三必须”指的是什么？,{},管行业必须管安全，管业务必须管安全，管生产经营必须管安全,\,\,\,,,
22,习总书记安全生产重要论述,单选题,依据《总书记关于安全生产的重要论述合集》，2024年11月12日习近平对广东珠海撞人恶性事件作出重要指示，要全力救治伤员，精心做好伤亡人员及家属安抚善后工作。要依法严惩凶手。各地区和有关部门要深刻汲取教训、举一反三，加强（），及时化解矛盾纠纷，严防发生极端案件，全力保障人民群众生命安全和社会稳定。,"{""A"": ""隐患排查"", ""B"": ""风险源头防控"", ""C"": ""教育培训"", ""D"": ""安全督查""}",B,\,\,1,,,
23,习总书记安全生产重要论述,多选题,2024年1月6日习近平对云南昭通市镇雄县山体滑坡作出重要指示，各地区和有关部门要（    ），（    ），（    ），防范遏制重大人员伤亡事件发生，切实保障人民群众生命财产安全。,"{""A"": ""紧盯风险隐患"", ""B"": ""压实各方责任"", ""C"": ""狠抓工作落实"", ""D"": ""加快基础建设""}",ABC,\,\,2,,,
24,习总书记安全生产重要论述,判断题,2024年1月24日习近平对江西新余店铺火灾作出重要指示，习近平强调，各地区和有关部门要深刻吸取教训，克服麻痹思想和侥幸心理，进一步压实安全生产责任，认真排查隐患，狠抓工作落实，坚决遏制各类安全事故多发连发势头，确保人民群众生命财产安全和社会大局稳定。（    ）,"{""A"": ""正确"", ""B"": ""错误""}",A,\,\,0.5,,,
25,《电力安全事故应急处置和调查处理条例》,单选题,依据《电力安全事故应急处置和调查处理条例》，电力企业应当按照国家有关规定，制定本企业（    ）预案。,"{""A"": ""事故应急"", ""B"": ""专项"", ""C"": ""人身伤亡"", ""D"": ""火灾""}",A,第十三条,,1,,,"第十三条　电力企业应当按照国家有关规定，制定本企业事故应急预案。
电力监管机构应当指导电力企业加强电力应急救援队伍建设，完善应急物资储备制度。"
26,《电力安全事故应急处置和调查处理条例》,单选题,依据《电力安全事故应急处置和调查处理条例》，事故造成地铁、机场、高层建筑、商场、影剧院、体育场馆等人员聚集场所停电的，应当迅速启用（    ），组织人员有序疏散。,"{""A"": ""应急电源"", ""B"": ""应急车辆"", ""C"": ""应急预案"", ""D"": ""应急照明""}",D,第十八条,,1,,,"第十八条　事故造成重要电力用户供电中断的，重要电力用户应当按照有关技术要求迅速启动自备应急电源；启动自备应急电源无效的，电网企业应当提供必要的支援。
事故造成地铁、机场、高层建筑、商场、影剧院、体育场馆等人员聚集场所停电的，应当迅速启用应急照明，组织人员有序疏散。"
27,《电力安全事故应急处置和调查处理条例》,单选题,依据《电力安全事故应急处置和调查处理条例》，事故危及人身和设备安全的，发电厂、变电站（    ）可以按照有关规定，立即采取停运发电机组和输变电设备等紧急处置措施。,"{""A"": ""领导人员"", ""B"": ""运行值班人员"", ""C"": ""管理人员"", ""D"": ""值班长""}",B,第十四条,,1,,,"第十四条　事故发生后，有关电力企业应当立即采取相应的紧急处置措施，控制事故范围，防止发生电网系统性崩溃和瓦解；事故危及人身和设备安全的，发电厂、变电站运行值班人员可以按照有关规定，立即采取停运发电机组和输变电设备等紧急处置措施。
事故造成电力设备、设施损坏的，有关电力企业应当立即组织抢修。"
28,《电力安全事故应急处置和调查处理条例》,单选题,依据《电力安全事故应急处置和调查处理条例》，事故造成重要电力用户供电中断的，重要电力用户应当按照有关技术要求迅速启动自备应急电源；启动自备应急电源无效的，（    ）应当提供必要的支援。,"{""A"": ""国务院能源主管部门"", ""B"": ""国务院其他有关部门"", ""C"": ""地方人民政府及有关部门"", ""D"": ""电网企业""}",D,第十八条,,1,,,"第十八条　事故造成重要电力用户供电中断的，重要电力用户应当按照有关技术要求迅速启动自备应急电源；启动自备应急电源无效的，电网企业应当提供必要的支援。
事故造成地铁、机场、高层建筑、商场、影剧院、体育场馆等人员聚集场所停电的，应当迅速启用应急照明，组织人员有序疏散。"
29,《电力安全事故应急处置和调查处理条例》,单选题,依据《电力安全事故应急处置和调查处理条例》，事故发生后，有关电力企业应当立即采取相应的（    ），控制事故范围，防止发生电网系统性崩溃和瓦解。,"{""A"": ""紧急防范措施"", ""B"": ""应急处理方案"", ""C"": ""预防措施"", ""D"": ""紧急处置措施""}",D,第十四条,,1,,,"第十四条　事故发生后，有关电力企业应当立即采取相应的紧急处置措施，控制事故范围，防止发生电网系统性崩溃和瓦解；事故危及人身和设备安全的，发电厂、变电站运行值班人员可以按照有关规定，立即采取停运发电机组和输变电设备等紧急处置措施。
事故造成电力设备、设施损坏的，有关电力企业应当立即组织抢修。"
30,《电力安全事故应急处置和调查处理条例》,单选题,依据《电力安全事故应急处置和调查处理条例》，事故造成重要电力用户供电中断的，重要电力用户应当按照有关技术要求（    ）。,"{""A"": ""恢复供电"", ""B"": ""切除故障设备"", ""C"": ""迅速启动自备应急电源"", ""D"": ""进行事故抢修""}",C,第十八条,,1,,,"第十八条　事故造成重要电力用户供电中断的，重要电力用户应当按照有关技术要求迅速启动自备应急电源；启动自备应急电源无效的，电网企业应当提供必要的支援。
事故造成地铁、机场、高层建筑、商场、影剧院、体育场馆等人员聚集场所停电的，应当迅速启用应急照明，组织人员有序疏散。"
31,《电力安全事故应急处置和调查处理条例》,多选题,依据《电力安全事故应急处置和调查处理条例》，电力系统事故造成地铁、机场、高层建筑、商场、影剧院、体育场馆等人员聚集场所停电的，应当（    ）。,"{""A"": ""恢复供电"", ""B"": ""切除故障设备"", ""C"": ""迅速启用应急照明"", ""D"": ""组织人员有序疏散""}",CD,第十八条,,2,,,"第十八条　事故造成重要电力用户供电中断的，重要电力用户应当按照有关技术要求迅速启动自备应急电源；启动自备应急电源无效的，电网企业应当提供必要的支援。
事故造成地铁、机场、高层建筑、商场、影剧院、体育场馆等人员聚集场所停电的，应当迅速启用应急照明，组织人员有序疏散。"
32,《电力安全事故应急处置和调查处理条例》,多选题,依据《电力安全事故应急处置和调查处理条例》，恢复电网运行和电力供应，应当优先保证（    ）的恢复，优先恢复重要电力用户、重要城市、重点地区的电力供应。,"{""A"": ""重要电厂厂用电源"", ""B"": ""重要输变电设备"", ""C"": ""电力主干网架"", ""D"": ""重要变电站""}",ABC,第十九条,,2,,,第十九条　恢复电网运行和电力供应，应当优先保证重要电厂厂用电源、重要输变电设备、电力主干网架的恢复，优先恢复重要电力用户、重要城市、重点地区的电力供应。
33,《电力安全事故应急处置和调查处理条例》,多选题,依据《电力安全事故应急处置和调查处理条例》，事故应急指挥机构或者电力监管机构应当按照有关规定，统一、准确、及时发布（    ）等信息。,"{""A"": ""负荷损失情况"", ""B"": ""有关事故影响范围"", ""C"": ""处置工作进度"", ""D"": ""预计恢复供电时间""}",BCD,第二十条,,2,,,第二十条　事故应急指挥机构或者电力监管机构应当按照有关规定，统一、准确、及时发布有关事故影响范围、处置工作进度、预计恢复供电时间等信息。
34,《电力安全事故应急处置和调查处理条例》,多选题,依据《电力安全事故应急处置和调查处理条例》，事故可能导致破坏电力系统稳定和电网大面积停电的，电力调度机构有权决定采取（    ）等必要措施。,"{""A"": ""拉限负荷"", ""B"": ""解列电网"", ""C"": ""解列发电机组"", ""D"": ""调整发电机出力""}",ABC,第十五条,,2,,,"第十五条　根据事故的具体情况，电力调度机构可以发布开启或者关停发电机组、调整发电机组有功和无功负荷、调整电网运行方式、调整供电调度计划等电力调度命令，发电企业、电力用户应当执行。
事故可能导致破坏电力系统稳定和电网大面积停电的，电力调度机构有权决定采取拉限负荷、解列电网、解列发电机组等必要措施。"
35,《电力安全事故应急处置和调查处理条例》,判断题,依据《电力安全事故应急处置和调查处理条例》，事故可能导致破坏电力系统稳定和电网大面积停电的，地方人民政府有关领导有权决定采取拉限负荷、解列电网、解列发电机组等必要措施。,"{""A"": ""正确"", ""B"": ""错误""}",B,第十五条,"第十五条　根据事故的具体情况，电力调度机构可以发布开启或者关停发电机组、调整发电机组有功和无功负荷、调整电网运行方式、调整供电调度计划等电力调度命令，发电企业、电力用户应当执行。
事故可能导致破坏电力系统稳定和电网大面积停电的，电力调度机构有权决定采取拉限负荷、解列电网、解列发电机组等必要措施。
正确答案：“地方人民政府有关领导”应改为“电力调度机构”",0.5,,,"第十五条　根据事故的具体情况，电力调度机构可以发布开启或者关停发电机组、调整发电机组有功和无功负荷、调整电网运行方式、调整供电调度计划等电力调度命令，发电企业、电力用户应当执行。
事故可能导致破坏电力系统稳定和电网大面积停电的，电力调度机构有权决定采取拉限负荷、解列电网、解列发电机组等必要措施。
正确答案：“地方人民政府有关领导”应改为“电力调度机构”"
36,《电力安全事故应急处置和调查处理条例》,单选题,依据《电力安全事故应急处置和调查处理条例》，事故发生后，（     ）应当立即采取相应的紧急处置措施，控制事故范围，防止发生电网系统性崩溃和瓦解；事故危及人身和设备安全的，发电厂、变电站运行值班人员可以按照有关规定，立即采取停运发电机组和输变电设备等紧急处置措施。,"{""A"": ""国务院电力监管机构"", ""B"": ""国务院其他有关部门"", ""C"": ""有关地方人民政府"", ""D"": ""有关电力企业""}",D,第十四条,,1,,,"第十四条　事故发生后，有关电力企业应当立即采取相应的紧急处置措施，控制事故范围，防止发生电网系统性崩溃和瓦解；事故危及人身和设备安全的，发电厂、变电站运行值班人员可以按照有关规定，立即采取停运发电机组和输变电设备等紧急处置措施。
事故造成电力设备、设施损坏的，有关电力企业应当立即组织抢修。"
37,《电力安全事故应急处置和调查处理条例》,多选题,依据《电力安全事故应急处置和调查处理条例》，事故发生后，电力企业和其他有关单位应当按照规定及时、准确报告事故情况，开展应急处置工作，防止事故扩大，减轻事故损害。电力企业应当尽快（    ）。,"{""A"": ""恢复电力生产"", ""B"": ""恢复电网运行"", ""C"": ""恢复电力（热力）正常供应"", ""D"": ""应急照明""}",ABC,第六条,,2,,,第六条　事故发生后，电力企业和其他有关单位应当按照规定及时、准确报告事故情况，开展应急处置工作，防止事故扩大，减轻事故损害。电力企业应当尽快恢复电力生产、电网运行和电力(热力)正常供应。
38,《电力安全事故应急处置和调查处理条例》,单选题,依据《电力安全事故应急处置和调查处理条例》，（   ）以上地方人民政府有关部门确定的重要电力用户，应当按照国务院电力监管机构的规定配置自备应急电源，并加强安全使用管理。,"{""A"": ""省级"", ""B"": ""地市级"", ""C"": ""县级"", ""D"": ""乡级""}",C,第五条,,,,,"第五条　电力企业、电力用户以及其他有关单位和个人，应当遵守电力安全管理规定，落实事故预防措施，防止和避免事故发生。
县级以上地方人民政府有关部门确定的重要电力用户，应当按照国务院电力监管机构的规定配置自备应急电源，并加强安全使用管理。"
39,《电力安全事故应急处置和调查处理条例》,单选题,依据《电力安全事故应急处置和调查处理条例》，任何单位和个人不得（   ）和干涉对事故的报告、应急处置和依法调查处理。,"{""A"": ""阻挠"", ""B"": ""听取"", ""C"": ""及时报送"", ""D"": ""真实报送""}",A,第七条,,,,,第七条　任何单位和个人不得阻挠和干涉对事故的报告、应急处置和依法调查处理。
40,《电力安全事故应急处置和调查处理条例》,多选题,依据《电力安全事故应急处置和调查处理条例》，根据电力安全事故(以下简称事故)影响电力系统安全稳定运行或者影响电力(热力)正常供应的程度，事故分为（   ）。事故等级划分标准由本条例附表列示。事故等级划分标准的部分项目需要调整的，由国务院电力监管机构提出方案，报国务院批准。,"{""A"": ""特别重大事故"", ""B"": ""重大事故"", ""C"": ""较大事故"", ""D"": ""一般事故""}",ABCD,第三条,,,,,第三条　根据电力安全事故(以下简称事故)影响电力系统安全稳定运行或者影响电力(热力)正常供应的程度，事故分为特别重大事故、重大事故、较大事故和一般事故。事故等级划分标准由本条例附表列示。事故等级划分标准的部分项目需要调整的，由国务院电力监管机构提出方案，报国务院批准。
41,《电力安全事故应急处置和调查处理条例》,多选题,依据《电力安全事故应急处置和调查处理条例》，事故发生后，（   ）应当立即向发电厂、（   ）或者（   ）报告。有关人员接到报告后，应当立即向上一级电力调度机构和本企业负责人报告。本企业负责人接到报告后，应当立即向国务院电力监管机构设在当地的派出机构(以下称事故发生地电力监管机构)、县级以上人民政府安全生产监督管理部门报告；热电厂事故影响热力正常供应的，还应当向供热管理部门报告；事故涉及水电厂(站)大坝安全的，还应当同时向有管辖权的水行政主管部门或者流域管理机构报告。,"{""A"": ""事故现场有关人员"", ""B"": ""变电站运行值班人员"", ""C"": ""电力调度机构值班人员"", ""D"": ""本企业现场负责人""}",ABCD,第八条,,,,,"第八条　事故发生后，事故现场有关人员应当立即向发电厂、变电站运行值班人员、电力调度机构值班人员或者本企业现场负责人报告。有关人员接到报告后，应当立即向上一级电力调度机构和本企业负责人报告。本企业负责人接到报告后，应当立即向国务院电力监管机构设在当地的派出机构(以下称事故发生地电力监管机构)、县级以上人民政府安全生产监督管理部门报告；热电厂事故影响热力正常供应的，还应当向供热管理部门报告；事故涉及水电厂(站)大坝安全的，还应当同时向有管辖权的水行政主管部门或者流域管理机构报告。
电力企业及其有关人员不得迟报、漏报或者瞒报、谎报事故情况。"
42,《电力安全事故应急处置和调查处理条例》,多选题,依据《电力安全事故应急处置和调查处理条例》，电力企业及其有关人员不得（   ）或者（   ）事故情况。,"{""A"": ""迟报"", ""B"": ""漏报"", ""C"": ""瞒报"", ""D"": ""谎报""}",ABCD,第八条,,,,,"第八条　事故发生后，事故现场有关人员应当立即向发电厂、变电站运行值班人员、电力调度机构值班人员或者本企业现场负责人报告。有关人员接到报告后，应当立即向上一级电力调度机构和本企业负责人报告。本企业负责人接到报告后，应当立即向国务院电力监管机构设在当地的派出机构(以下称事故发生地电力监管机构)、县级以上人民政府安全生产监督管理部门报告；热电厂事故影响热力正常供应的，还应当向供热管理部门报告；事故涉及水电厂(站)大坝安全的，还应当同时向有管辖权的水行政主管部门或者流域管理机构报告。
电力企业及其有关人员不得迟报、漏报或者瞒报、谎报事故情况。"
43,《电力安全事故应急处置和调查处理条例》,多选题,依据《电力安全事故应急处置和调查处理条例》，任何单位和个人不得故意破坏事故现场，不得（   ）或者（   ）相关证据。,"{""A"": ""伪造"", ""B"": ""隐匿"", ""C"": ""毁灭"", ""D"": ""收集""}",ABC,第十一条,,,,,"第十一条　事故发生后，有关单位和人员应当妥善保护事故现场以及工作日志、工作票、操作票等相关材料，及时保存故障录波图、电力调度数据、发电机组运行数据和输变电设备运行数据等相关资料，并在事故调查组成立后将相关材料、资料移交事故调查组。
因抢救人员或者采取恢复电力生产、电网运行和电力供应等紧急措施，需要改变事故现场、移动电力设备的，应当作出标记、绘制现场简图，妥善保存重要痕迹、物证，并作出书面记录。
任何单位和个人不得故意破坏事故现场，不得伪造、隐匿或者毁灭相关证据。"
44,《电力安全事故应急处置和调查处理条例》,判断题,依据《电力安全事故应急处置和调查处理条例》，电力安全事故，是指电力生产或者电网运行过程中发生的影响电力系统安全稳定运行或者影响电力正常供应的事故(包括热电厂发生的影响热力正常供应的事故)。,"{""A"": ""正确"", ""B"": ""错误""}",A,第二条,,,,,第二条　本条例所称电力安全事故，是指电力生产或者电网运行过程中发生的影响电力系统安全稳定运行或者影响电力正常供应的事故(包括热电厂发生的影响热力正常供应的事故)。
45,《电力安全事故应急处置和调查处理条例》,判断题,依据《电力安全事故应急处置和调查处理条例》，电力企业、电力用户以及其他有关单位和个人，应当遵守电力安全管理规定，落实事故预防措施，防止和避免事故发生。,"{""A"": ""正确"", ""B"": ""错误""}",A,第五条,,,,,"第五条　电力企业、电力用户以及其他有关单位和个人，应当遵守电力安全管理规定，落实事故预防措施，防止和避免事故发生。
县级以上地方人民政府有关部门确定的重要电力用户，应当按照国务院电力监管机构的规定配置自备应急电源，并加强安全使用管理。"
46,《电力安全事故应急处置和调查处理条例》,判断题,依据《电力安全事故应急处置和调查处理条例》，因抢救人员或者采取恢复电力生产、电网运行和电力供应等紧急措施，需要改变事故现场、移动电力设备的，可以不作出标记、绘制现场简图，可以不保存重要痕迹、物证，并作出书面记录。,"{""A"": ""正确"", ""B"": ""错误""}",B,第十一条,"第十一条　事故发生后，有关单位和人员应当妥善保护事故现场以及工作日志、工作票、操作票等相关材料，及时保存故障录波图、电力调度数据、发电机组运行数据和输变电设备运行数据等相关资料，并在事故调查组成立后将相关材料、资料移交事故调查组。
因抢救人员或者采取恢复电力生产、电网运行和电力供应等紧急措施，需要改变事故现场、移动电力设备的，应当作出标记、绘制现场简图，妥善保存重要痕迹、物证，并作出书面记录。
任何单位和个人不得故意破坏事故现场，不得伪造、隐匿或者毁灭相关证据。",,,,"第十一条　事故发生后，有关单位和人员应当妥善保护事故现场以及工作日志、工作票、操作票等相关材料，及时保存故障录波图、电力调度数据、发电机组运行数据和输变电设备运行数据等相关资料，并在事故调查组成立后将相关材料、资料移交事故调查组。
因抢救人员或者采取恢复电力生产、电网运行和电力供应等紧急措施，需要改变事故现场、移动电力设备的，应当作出标记、绘制现场简图，妥善保存重要痕迹、物证，并作出书面记录。
任何单位和个人不得故意破坏事故现场，不得伪造、隐匿或者毁灭相关证据。"
47,近3年国网系统安全事故（事件）通报,单选题,2022年4月16日，国网四川电力眉山供电公司东坡区供电中心富牛供电所组织作业人员开展10千伏观土线绝缘化改造及消缺作业，工作小组共3名作业人员，分别为肖某某（小组负责人）、李某某（小组成员，死者）、杨某某（小组成员），10时50分，该小组完成观盛支线七处设备线夹更换作业后，乘坐由肖某某驾驶的车辆前往观土线30#杆，途中至10千伏观光线17#杆（运行线路）时，擅自扩大工作范围，组织开展观光线#17杆处设备线夹的更换工作，安排李某某更换线夹（非本次作业内容，为今年3月份开展的另一项由肖某某担任小组负责人的改造消缺项目遗留工作），李某某在未核对杆号牌的情况下登杆未验电，触电死亡，该事故暴露出的问题是：作业实施盲目、（    ）、专业管理粗放、安全意识不足、合规意识不强。,"{""A"": ""作业人员身体状况不好"", ""B"": ""现场组织无序"", ""C"": ""施工工器具管理不到位"", ""D"": ""作业人员安排不合理""}",B,\,,1,,,
48,近3年国网系统安全事故（事件）通报,单选题,2022年4月16日，国网四川电力眉山供电公司东坡区供电中心富牛供电所组织作业人员开展10千伏观土线绝缘化改造及消缺作业，工作小组共3名作业人员，分别为肖某某（小组负责人）、李某某（小组成员，死者）、杨某某（小组成员），10时50分，该小组完成观盛支线七处设备线夹更换作业后，乘坐由肖某某驾驶的车辆前往观土线30#杆，途中至10千伏观光线17#杆（运行线路），安排李某某更换线夹（非本次作业内容，为今年3月份开展的另一项由肖某某担任小组负责人的改造消缺项目遗留工作），李某某登杆未验电，触电死亡，该事故应吸取的主要教训叙述错误的是（    ）。,"{""A"": ""部分领导干部和管理人员安全责任不落实"", ""B"": ""对配（农）网小型分散作业风险管控不力"", ""C"": ""防误操作管理严重缺失"", ""D"": ""反违章工作力度层层衰减"", ""E"": ""对供电所安全投入保障、员工基础安全教育培训和农电员工的“同质化”管理需要进一步加强""}",C,\,,1,,,
49,近3年国网系统安全事故（事件）通报,多选题,2022年5月22日，国网四川电力送变电建设有限公司在500千伏普提变电站内开展“白鹤滩500千伏配套工程500千伏普提变电站改造”作业过程中，未根据耐压试验所需的安措对作业计划和停电范围进行合理安排，现场施工方案未对增加二次作业提出针对有效的管控措施，作业人员未严格执行二次安全措施票要求，使用的试验短接线插接不牢固，未按规定进行紧固，导致插接在运行端子上的试验短接线脱落，电流互感器二次回路开路，造成500千伏榄普二线5022开关跳闸。该事故暴露出的问题是（    ）。,"{""A"": ""停电计划管理不统筹"", ""B"": ""施工方案变更不严谨"", ""C"": ""作业组织管理有漏洞"", ""D"": ""二次作业管理不到位"", ""E"": ""运行站作业安全管控不到位""}",ABCDE,\,,2,,,
